,background,body,eyes,head_gear,clothes,held_item,hands,wristband
0,blue,maroon,standard,std_lord,blue_dot,nut,standard,yellow
1,blue,maroon,standard,none,none,nut,standard,none
2,blue,maroon,standard,none,none,nut,standard,yellow
3,blue,maroon,standard,none,blue_dot,nut,standard,none
4,white,maroon,standard,std_lord,blue_dot,nut,standard,yellow
5,white,maroon,standard,none,none,nut,standard,none
6,white,maroon,standard,std_lord,none,nut,standard,yellow
7,blue,maroon,standard,none,blue_dot,nut,standard,yellow
8,white,maroon,standard,std_lord,blue_dot,nut,standard,none
9,blue,maroon,standard,std_lord,blue_dot,nut,standard,none
10,white,maroon,standard,none,blue_dot,nut,standard,yellow
11,white,maroon,standard,none,none,nut,standard,yellow
